System Manager Starting...
Configured Cloudflare Zone: 24c7fd4d380e2a496e3f0515c844f16f
Configured Cloudflare Token: zNSO...kIPP
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/login                --> main.loginHandler (4 handlers)
[GIN-debug] GET    /api/system               --> main.getSystemInfo (5 handlers)
[GIN-debug] GET    /api/network              --> main.getNetworkInfo (5 handlers)
[GIN-debug] GET    /api/processes            --> main.getProcesses (5 handlers)
[GIN-debug] POST   /api/processes/kill       --> main.killProcess (5 handlers)
[GIN-debug] GET    /api/nginx/files          --> main.listNginxFiles (5 handlers)
[GIN-debug] GET    /api/nginx/file           --> main.getNginxFile (5 handlers)
[GIN-debug] POST   /api/nginx/file           --> main.saveNginxFile (5 handlers)
[GIN-debug] POST   /api/nginx/create-site    --> main.createSite (5 handlers)
[GIN-debug] POST   /api/cloudflare/add-record --> main.addDNSRecord (5 handlers)
[GIN-debug] GET    /api/cloudflare/records   --> main.listDNSRecords (5 handlers)
[GIN-debug] PUT    /api/cloudflare/record/:id --> main.updateDNSRecord (5 handlers)
[GIN-debug] DELETE /api/cloudflare/record/:id --> main.deleteDNSRecord (5 handlers)
[GIN-debug] GET    /api/firewall             --> main.getFirewallStatus (5 handlers)
[GIN-debug] POST   /api/firewall/add         --> main.addFirewallRule (5 handlers)
[GIN-debug] POST   /api/firewall/delete      --> main.deleteFirewallRule (5 handlers)
[GIN-debug] GET    /api/terminal             --> main.terminalHandler (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8010
[GIN] 2025/12/04 - 20:15:22 | 200 |    1.074912ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:22 | 200 |   13.841354ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:22 | 200 |   125.59942ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:24 | 200 |    3.289586ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:24 | 200 |   14.602786ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:24 | 200 |   125.89142ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:26 | 200 |    1.048272ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:26 | 200 |   14.895396ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:26 | 200 |  127.851085ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:28 | 200 |    1.267642ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:28 | 200 |    17.22547ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:28 | 200 |  118.595879ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:30 | 200 |    1.519702ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:31 | 200 |  118.248006ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:31 | 200 |   13.345034ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:41 | 200 |     970.221µs |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:41 | 200 |  131.190859ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:15:41 | 200 |   15.643848ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:55 | 200 |    1.224092ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:15:55 | 200 |   14.790085ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:15:55 | 200 |  120.770232ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:16:21 | 200 |     951.682µs |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:16:22 | 200 |   13.136344ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:16:23 | 200 |  122.537713ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:22:58 | 200 |    1.313071ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:22:58 | 200 |   15.328646ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:22:58 | 200 |  141.287683ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:23:00 | 401 |       55.84µs |    181.77.29.38 | GET      "/api/cloudflare/records"
[GIN] 2025/12/04 - 20:23:00 | 200 |    1.088422ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:23:00 | 200 |   19.773194ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:23:00 | 200 |  118.806593ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:23:02 | 200 |    2.199424ms |   181.77.33.244 | GET      "/api/system"
[GIN] 2025/12/04 - 20:23:02 | 200 |   16.497828ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:23:02 | 200 |  128.655858ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:23:04 | 200 |     938.471µs |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:23:04 | 200 |   13.843893ms |   181.77.33.244 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:23:04 | 200 |  121.635305ms |    181.77.29.38 | GET      "/api/network"
[GIN] 2025/12/04 - 20:23:06 | 200 |    1.030611ms |    181.77.29.38 | GET      "/api/system"
[GIN] 2025/12/04 - 20:23:06 | 200 |   13.530893ms |    181.77.29.38 | GET      "/api/processes"
[GIN] 2025/12/04 - 20:23:06 | 200 |   128.70566ms |   181.77.33.244 | GET      "/api/network"
[GIN] 2025/12/04 - 20:23:08 | 200 |     934.891µs |   181.77.33.244 | GET      "/api/system"
